player,pos,team,worpTier,worp,porp,tradeValue,week,spikeHighP,spikeMidP,spikeLowP
Bijan Robinson,RB,ATL,0,2.2,203.2,10200,16,0.625,0.8125,0.9375
Josh Allen,QB,BUF,0,1.91,177.98,10200,16,0.375,0.625,0.8125
Ja'Marr Chase,WR,CIN,1,1.17,111.4,10093,15,0.4666666666666667,0.6666666666666666,0.6666666666666666
Jahmyr Gibbs,RB,DET,0,1.84,189.1,9977,16,0.375,0.625,0.8125
Jaxon Smith-Njigba,WR,SEA,1,1.66,164.6,9816,16,0.625,0.8125,0.9375
Drake Maye,QB,NE,1,1.48,143.04,9646,16,0.25,0.625,0.9375
Puka Nacua,WR,LA,0,1.84,171.1,8934,15,0.6,0.8666666666666667,0.9333333333333333
Brock Bowers,TE,LV,2,0.54,48.7,8143,12,0.3333333333333333,0.5,0.8333333333333334
Caleb Williams,QB,CHI,2,1.15,112.72,7752,16,0.1875,0.5,0.75
Lamar Jackson,QB,BAL,2,0.53,45.88,7712,12,0.25,0.4166666666666667,0.5
Jayden Daniels,QB,WAS,3,0.26,23.36,7677,7,0.14285714285714285,0.14285714285714285,0.8571428571428571
Amon-Ra St. Brown,WR,DET,1,1.18,118.7,7659,16,0.3125,0.625,0.75
Jeremiyah Love,RB,ARI,,,,7655,,NaN,NaN,NaN
Justin Jefferson,WR,MIN,3,0.2,17.1,7585,16,0.0625,0.25,0.5
Ashton Jeanty,RB,LV,2,0.91,83.2,7442,16,0.25,0.4375,0.5625
Malik Nabers,WR,NYG,3,0.17,15.4,7380,4,0.25,0.25,0.5
Trey McBride,TE,ARI,2,1.15,117.2,7321,16,0.5625,0.6875,0.875
Joe Burrow,QB,CIN,3,0.28,24.06,7152,7,0.2857142857142857,0.2857142857142857,0.5714285714285714
CeeDee Lamb,WR,DAL,2,0.66,60.3,6744,13,0.15384615384615385,0.5384615384615384,0.7692307692307693
De'Von Achane,RB,MIA,1,1.78,166.4,6307,16,0.4375,1,1
Justin Herbert,QB,LAC,2,1.05,98.16,6297,16,0.3125,0.3125,0.875
Patrick Mahomes,QB,KC,1,1.35,117.12,6155,14,0.42857142857142855,0.5714285714285714,0.7142857142857143
Drake London,WR,ATL,2,0.67,65.5,6089,11,0.36363636363636365,0.45454545454545453,0.5454545454545454
Omarion Hampton,RB,LAC,3,0.52,47.1,6050,9,0.2222222222222222,0.5555555555555556,0.6666666666666666
Jalen Hurts,QB,PHI,2,1.12,106.2,5899,16,0.1875,0.5,0.8125
Jaxson Dart,QB,NYG,2,0.58,58.52,5828,13,0.3076923076923077,0.46153846153846156,0.6923076923076923
Tetairoa McMillan,WR,CAR,3,0.43,41.4,5165,16,0.0625,0.25,0.5
Trevor Lawrence,QB,JAX,1,1.24,122.66,5099,16,0.25,0.375,0.75
Colston Loveland,TE,CHI,3,-0.06,1,5047,15,0.2,0.26666666666666666,0.5333333333333333
Bo Nix,QB,DEN,2,1.03,102.58,4997,16,0.125,0.3125,0.8125
Jonathan Taylor,RB,IND,0,2.22,212,4719,16,0.4375,0.6875,1
James Cook,RB,BUF,1,1.74,161.8,4608,16,0.625,0.75,0.875
Carnell Tate,WR,TEN,,,,4397,,NaN,NaN,NaN
Brock Purdy,QB,SF,2,0.87,81.98,4330,8,0.375,0.5,1
Tyler Warren,TE,IND,3,0.23,19.3,4323,16,0.25,0.375,0.6875
Emeka Egbuka,WR,TB,3,0.5,36.8,4279,16,0.25,0.25,0.3125
George Pickens,WR,DAL,1,1.22,117.1,4198,16,0.3125,0.5625,0.8125
Jordan Love,QB,GB,2,0.68,56.12,3903,15,0.13333333333333333,0.3333333333333333,0.6666666666666666
Nico Collins,WR,HOU,2,0.76,72.5,3900,15,0.3333333333333333,0.4666666666666667,0.6666666666666666
Garrett Wilson,WR,NYJ,3,0.34,24.5,3795,7,0.42857142857142855,0.5714285714285714,0.5714285714285714
Kenneth Walker,RB,KC,3,0.36,35.6,3782,16,0.25,0.3125,0.5625
Chris Olave,WR,NO,2,0.93,91.6,3733,16,0.3125,0.4375,0.5625
Breece Hall,RB,NYJ,2,0.75,65.76,3706,16,0.25,0.5,0.5
Christian McCaffrey,RB,SF,0,2.42,232,3705,16,0.75,0.9375,1
Quinshon Judkins,RB,CLE,3,0.41,39.7,3698,15,0.13333333333333333,0.4,0.5333333333333333
Cam Ward,QB,TEN,4,-0.25,-17.68,3639,16,0.0625,0.0625,0.375
Fernando Mendoza,QB,LV,,,,3638,,NaN,NaN,NaN
Ladd McConkey,WR,LAC,3,0.23,19.5,3527,16,0.1875,0.25,0.5
TreVeyon Henderson,RB,NE,3,0.47,49.5,3495,16,0.1875,0.25,0.5625
Dak Prescott,QB,DAL,1,1.31,123.92,3488,16,0.25,0.625,0.8125
Rome Odunze,WR,CHI,3,0.35,30.4,3432,12,0.16666666666666666,0.4166666666666667,0.5
Rashee Rice,WR,KC,2,0.67,61.9,3406,8,0.5,0.625,0.625
Chase Brown,RB,CIN,2,1.1,105.3,3406,16,0.3125,0.6875,0.8125
A.J. Brown,WR,NE,2,0.65,62,3347,15,0.26666666666666666,0.4,0.6
Saquon Barkley,RB,PHI,2,1,91.9,3346,16,0.4375,0.5625,0.8125
Marvin Harrison,WR,ARI,3,0.15,9.7,3283,12,0.16666666666666666,0.25,0.5
Luther Burden,WR,CHI,4,-0.14,-10.1,3267,14,0.14285714285714285,0.14285714285714285,0.2857142857142857
Makai Lemon,WR,PHI,,,,3222,,NaN,NaN,NaN
Jordyn Tyson,WR,NO,,,,3177,,NaN,NaN,NaN
DeVonta Smith,WR,PHI,3,0.28,30.5,3160,16,0.0625,0.375,0.4375
Bucky Irving,RB,TB,3,0.49,40,3073,9,0.1111111111111111,0.6666666666666666,0.6666666666666666
Tucker Kraft,TE,GB,3,0.41,38.8,3072,8,0.25,0.5,0.75
Kyren Williams,RB,LA,1,1.18,109.2,3044,16,0.375,0.6875,0.875
Jadarian Price,RB,SEA,,,,3001,,NaN,NaN,NaN
Tyler Shough,QB,NO,3,0.26,23.52,2990,10,0,0.2,0.6
Brian Thomas,WR,JAX,3,0,1.9,2969,13,0.07692307692307693,0.15384615384615385,0.3076923076923077
Zay Flowers,WR,BAL,3,0.49,44.3,2969,16,0.1875,0.25,0.625
Harold Fannin,TE,CLE,3,0.26,25.3,2957,16,0.1875,0.375,0.75
Jaylen Waddle,WR,DEN,3,0.39,35.72,2886,16,0.125,0.375,0.5625
Tee Higgins,WR,CIN,2,0.57,59,2875,14,0.14285714285714285,0.5,0.5
Cam Skattebo,RB,NYG,3,0.52,52.4,2821,8,0.25,0.375,0.875
C.J. Stroud,QB,HOU,3,0.37,34.6,2784,13,0.07692307692307693,0.15384615384615385,0.6153846153846154
Josh Jacobs,RB,GB,2,1.08,101.5,2778,15,0.4,0.6666666666666666,0.7333333333333333
Baker Mayfield,QB,TB,2,0.78,69.84,2757,16,0,0.3125,0.875
Jared Goff,QB,DET,2,0.91,86.6,2720,16,0.1875,0.375,0.6875
Sam LaPorta,TE,DET,3,0.19,16.7,2717,9,0.3333333333333333,0.4444444444444444,0.5555555555555556
Travis Etienne,RB,NO,2,1.11,109.1,2707,16,0.375,0.6875,0.875
Kyler Murray,QB,MIN,3,0.1,7.88,2681,5,0,0,0.6
Javonte Williams,RB,DAL,2,1.15,100.5,2669,16,0.3125,0.6875,0.875
